carrera	name	gender
Licenciatura	CONSTANTINO	male
Licenciatura	JUAN IGNACIO	male
Licenciatura	JUAN	male
Licenciatura	SOFIA	female
Licenciatura	BLAS MATIAS	male
Licenciatura	GONZALO HERNÁN	male
Licenciatura	TOMÁS BAUTISTA	male
Licenciatura	JUANA	female
Licenciatura	DANIEL ALEXANDER	male
Licenciatura	TATIANA	female
Licenciatura	KONSTANTINO	male
