posicion	jugador	club	puntos	categoria
1388	Suchecki, Juan                     	Libre                         	911	5
1389	Fernandez, Walter                  	CEDIMA                        	911	5
1390	Mandelli, Gabriel                  	Def. Santos Lugares           	911	5
1391	Fuentes, Marcelo                   	Nichia Gakuin                 	911	5
1392	Contreras, Claudio                 	Garin Tenis de Mesa           	911	5
1393	Tagliaferri, José Luis             	Sp. Villa Ballester           	911	5
1394	Alvarez, Esteban                   	Peretz                        	911	5
1395	Bejarano, Agustin                  	Alvear Club                   	911	5
1396	Rosso, Nicolas                     	Libertad                      	911	5
1397	Arce, Manuel                       	ASTECA                        	910	5
1398	Farina, Gustavo                    	Inst. Compañía María          	910	5
1399	Ferreyra, Joaquín                  	Libre                         	910	5
1400	Elkan, Kevin                       	Macabi                        	909	5
1401	Gi, Huang                          	Libre                         	909	5
1402	Tiggi, Juan Manuel                 	Estacion Ping Pong            	909	5
1403	Varone, Tomas                      	Garin Tenis de Mesa           	909	5
1404	Campbell, Roger P.                 	La Legión TDM                 	909	5
1405	Fretes, Pablo                      	Ntra. Señora Lourdes          	908	5
1406	Komesu, Carlos                     	Inst. Compañía María          	908	5
1407	Felguer, Federico                  	UBA Exactas                   	907	5
1408	Yao, Jiamín                        	Libre                         	907	5
1409	Yamaki, Ricardo                    	Nichia Gakuin                 	907	5
1410	Soldi, Mario                       	Gimnasty                      	906	5
1411	Gimenez, Jonathan                  	Libre                         	906	5
1412	Paccaloni, Germán                  	Peretz                        	906	5
1413	Tedeschi, José                     	Ingeniero Acosta              	906	5
1414	Miguez, Carolina                   	River Plate                   	905	5
1415	Goya, Cristian                     	Peretz                        	905	5
1416	Solodujin, Marcelo                 	Fenix                         	905	5
1417	Buzzelli, Facundo                  	ASTECA                        	904	5
1418	Grebin, Martín                     	Escuela Cangallo              	904	5
1419	Martinez, Carlos                   	Cedem nº 2                    	904	5
1420	Frutos, Leandro                    	Libre                         	904	5
1421	Bezzati, Juan                      	Libre                         	904	5
1422	Shahmuradyan, Rafael               	La Legión TDM                 	904	5
1423	Roman, Sergio Gabriel              	Peretz                        	903	5
1424	Wang, Nancy                        	Nichia Gakuin                 	903	5
1425	Delgado Menendez, Diego            	La Legión TDM                 	903	5
1426	Lira, Reinaldo                     	La Legión TDM                 	903	5
1427	Tula, Gastón                       	Libre                         	902	5
1428	Decelbaum, Uriel                   	Macabi                        	902	5
1429	Perez, Nahuel                      	Rioja                         	901	5
1430	Fernandez, Damián                  	Soc. Fomento CAVA             	901	5
1431	Pepe, Matias                       	La Legión TDM                 	901	5
1432	Calvi, Tiago                       	Padilla                       	901	5
1433	Fradkin, Ivan                      	River Plate                   	901	5
1434	Matalon, José Luis                 	Macabi                        	900	5
1435	Camisassa, Juan                    	Escuela Cangallo              	900	5
1436	Heinze, Gastón                     	ASTECA                        	900	5
1437	Marabi, Simón                      	Adrogue Sith Spin             	900	5
1438	Melluso, Leonardo                  	Gimnasty                      	900	5
1439	Corredor Umaña, Leonard            	Urquiza                       	900	5
1440	Ruiz, Julio                        	Social Club TDM               	900	5
1441	Walter, Brian                      	Estacion Ping Pong            	900	5
1442	Etcheverry, Lionel A.              	Social Club TDM               	900	5
1443	Tufillaro, Emilio                  	Circulo Campano               	900	5
1444	Di Giorgio, Pablo                  	Estacion Ping Pong            	900	5
1445	Lezama, Sebastian                  	Libre                         	899	5
1446	Forti, Nahuel                      	Soc. Fomento CAVA             	899	5
1447	Martino, Mateo                     	Gimnasty                      	899	5
1448	Zilberman, Fabio                   	Libre                         	899	5
1449	Encina, Ezequiel                   	Inst. Compañía María          	899	5
1450	Cruz, Fabián                       	Peñarol                       	898	5
1451	Grasso, Leandro                    	Gimnasty                      	898	5
1452	Ottero, Juan                       	C.N. Bouchardo                	898	5
1453	Reig, Hernán                       	La Legión TDM                 	898	5
1454	Bentancourt, Rubén                 	Garin Tenis de Mesa           	897	5
1455	Wang Ma, Frank                     	Nichia Gakuin                 	896	5
1456	Celaya, Guillermo                  	Top Minc                      	896	5
1457	Moscato, Néstor                    	Alvear Club                   	896	5
1458	Buira, Ekira                       	Escuela Cangallo              	895	5
1459	Angheben, Yanina                   	Top Minc                      	895	5
1460	Vertua, Jeremias                   	Libre                         	895	5
1461	Pinto, Roberto                     	Gimnasty                      	894	5
1462	Gushiken, Rodrigo                  	Fenix                         	894	5
1463	Saini, Martin G                    	Ntra. Señora Lourdes          	894	5
1464	Babini, Juan                       	Gimnasty                      	893	5
1465	Pance, Alejandro                   	Gimnasty                      	893	5
1466	Scasso, Roberto                    	UBA Exactas                   	893	5
1467	Fuks, Sebastián                    	Padilla                       	893	5
1468	Kuznetsov, Eugenio                 	Top Minc                      	892	5
1469	Di Lascio, Matías                  	Libre                         	892	5
1470	Escalante, Jonathan                	Nichia Gakuin                 	892	5
1471	Bocian, Martín                     	Macabi                        	892	5
1472	Taminato, Silvina                  	Libre                         	891	5
1473	Dueñas, Alfredo                    	Gimnasty                      	891	5
1474	Diaz, Fernando                     	Top Minc                      	891	5
1475	Carballo, Federico                 	Nichia Gakuin                 	890	5
1476	Armas, Pablo                       	UBA Exactas                   	889	5
1477	Nacci, Luciano                     	UGAB                          	889	5
1478	Moncalvillo, Germán                	Top Minc                      	889	5
1479	Bonucci, Pablo                     	HCD                           	888	5
1480	Fichman, Amos                      	Macabi                        	887	5
1481	Salinas, Ramón                     	Intendente Agüero             	887	5
