posicion	jugador	club	puntos	categoria
91	Ovejero, Fernando                  	River Plate                   	2145	1
92	Ocampos, Juan                      	River Plate                   	2145	1
93	Ciancio, Nicolás                   	Top Minc                      	2144	1
94	Tenti, Benjamín                    	Gimnasty                      	2140	1
95	Garcia Salgado, Juan               	San Lorenzo                   	2140	1
96	Miodosky, Martín                   	River Plate                   	2138	1
97	Callaba, Nicolás                   	Gimnasty                      	2133	1
98	Kornschuh, Adriel                  	Ferrocarril Oeste             	2129	1
99	Tassara, Fernando                  	La Reja                       	2128	1
100	Boursillon, Fernando               	Libre                         	2124	1
101	De Leon, Facundo                   	Peretz                        	2115	1
102	Gavilan, Axel                      	Libre                         	2108	1
103	Duran, Ian                         	Peretz                        	2108	1
104	Romero, Santiago                   	Ateneo de Versailles          	2108	1
105	Merkin, Alan Gabriel               	River Plate                   	2106	1
106	De Simone, Mariano                 	Nichia Gakuin                 	2104	1
107	Bobrow, Adam                       	Libre                         	2102	1
108	Lorenzotti, María Pía              	Tigre TDM                     	2100	1
109	Descovich, Mateo                   	Social Club TDM               	2100	1
110	Solano, Jonathan                   	Social Club TDM               	2100	1
111	Iwasa, Agustina                    	River Plate                   	2083	1
112	Tchintchinian, Mariano             	UGAB                          	2082	1
113	Valdes, Tobias D.                  	CEDIMA                        	2081	1
114	Aguilar, Felipe                    	Libre                         	2078	1
115	Neira, Darío                       	Top Minc                      	2078	1
116	Melluso, Salvador                  	Gimnasty                      	2077	1
117	Hernandez, Juan                    	Macabi                        	2073	1
118	Kanashiro, Martín                  	Nikkei TDM                    	2072	1
119	Fernandez, Emanuel                 	C.A.S.A. de Padua             	2071	1
120	Levin, Julián                      	La Legión TDM                 	2069	1
121	Azcoaga Puyó, Christian E.         	CTDM Pato Nizetich            	2060	1
122	Bortoli, Rodrigo                   	Peretz                        	2059	1
123	Argüelles, Camila                  	Libre                         	2056	1
124	Espina De La Fuente, Thiago        	Rioja                         	2056	1
125	Blasco, Lisandro                   	Top Minc                      	2053	1
126	Ramos, Mauro                       	Fenix                         	2050	1
127	Wainsztok, Darío                   	Ferrocarril Oeste             	2045	1
128	Cabrera, Braian                    	Fenix                         	2034	1
129	Lovera Arteaga, Mainor             	La Legión TDM                 	2032	1
130	Sugimoto, Shumma                   	Inst. Compañía María          	2027	1
131	Tabacman, Alexander                	Soc. Fomento CAVA             	2026	1
132	Kaizoji, Camila                    	Alvear Club                   	2013	1
133	Olmos, Agustin                     	Ateneo de Versailles          	2012	1
134	Etayo, Alejandro                   	Fenix                         	2009	1
135	Jaimovich, Ignacio                 	Top Minc                      	2007	1
136	Aguaysol, Lautaro                  	Libre                         	2000	1
137	Molero, Candela                    	Atlanta                       	1999	1
138	Ferretti, Matías                   	Gimnasty                      	1993	1
139	Hurevich, Tobias                   	Ferrocarril Oeste             	1989	1
140	Nievas, Diego Gustavo              	Oeste TDM Catán               	1988	1
141	Di Pierri, Carlos                  	Peretz                        	1987	1
142	Novizki, Pablo                     	UBA Exactas                   	1984	1
143	Huergo, Maximiliano Román          	Nichia Gakuin                 	1977	1
144	Hernandez Galvan, Julio            	Fenix                         	1974	1
145	Kamimura, Emilio                   	Soc. Fomento CAVA             	1967	1
146	Gambande, Lucio                    	San Lorenzo                   	1962	1
147	Carvalho, Lucas                    	Top Minc                      	1962	1
148	Rajmil, Muriel                     	San Lorenzo                   	1960	1
149	Pombo, Joaquín                     	Ferrocarril Oeste             	1957	1
150	Choca, Federico                    	Libre                         	1956	1
151	Perez, Hernán                      	Peretz                        	1955	1
152	Beraja, Alan                       	Atlanta                       	1953	1
153	Mikkonen, Jaakko                   	UBA Exactas                   	1950	1
154	Burstein, Julián                   	Libre                         	1946	1
155	Viotti, Lucas                      	Nikkei TDM                    	1945	1
156	Serrano, Juan José                 	Top Minc                      	1944	1
157	D Alessandro, Tomas                	Tigre TDM                     	1941	1
158	Pombo, Federico                    	Ferrocarril Oeste             	1936	1
159	Kashiwagi, Héctor                  	Inst. Compañía María          	1930	1
160	Olivé Benages, Marc                	Top Minc                      	1928	1
161	Marini, Joaquín                    	Ferrocarril Oeste             	1928	1
162	Melita, Juan                       	Gimnasty                      	1925	1
163	Fux, Gabriel                       	Alvear Club                   	1918	1
164	Tenti, Joaquín                     	Gimnasty                      	1917	1
165	Gurevich, Ariel                    	Macabi                        	1916	1
166	Savanco, Marcos                    	Social Club TDM               	1911	1
167	Cisilin, Estanislao                	Inst. Compañía María          	1911	1
168	Marginet Campos, Alejandro         	Garin Tenis de Mesa           	1910	1
169	Rajmil, Damián                     	Tigre TDM                     	1907	1
170	Perez, Candela                     	Peretz                        	1901	1
171	Polo Canesin, Nicolas              	CTDM Pato Nizetich            	1900	1
172	Basso, Valentin                    	Gimnasty                      	1892	1
173	Pereyra, Hugo                      	Nichia Gakuin                 	1891	1
174	Menghi, Manuel                     	Gimnasty                      	1890	1
175	Fernandez, Axel                    	UGAB                          	1888	1
176	Felscher, Jonathan                 	Ateneo de Versailles          	1886	1
177	Morrazo, Agustín                   	Atlanta                       	1876	1
178	Loiseau, Alain                     	Peretz                        	1872	1
179	Mon, Hernán                        	Alvear Club                   	1869	1
180	Castro, Mauricio                   	Libre                         	1866	1
181	Riera Castillo, Simon A.           	CEDIMA                        	1866	1
182	Strehl, Matías                     	Libre                         	1854	1
183	Weiss, Alan                        	La Legión TDM                 	1850	1
184	Roitman, Oscar                     	Nichia Gakuin                 	1848	1
185	Florentin, Victor                  	Peretz                        	1846	1
186	Iamarino, Nicolás                  	Nichia Gakuin                 	1844	1
187	Lopez Sanchez, Francisco Jose      	CEDIMA                        	1841	1
188	Nakagama, Alex R.                  	CTDM Pato Nizetich            	1841	1
189	Bentancourt, Luciano               	CTDM Pato Nizetich            	1837	1
190	Valdez, Eduardo                    	Alvear Club                   	1834	1
