indra	prov	depto	circuito	secelec	departamento	x	y
020380303A	02	038	0303A	3	Florencio Varela	-58.25480568976206	-34.86322169414464
020380303B	02	038	0303B	3	Florencio Varela	-58.204589290263556	-34.86105496895765
020390305	02	039	0305	5	General Alvarado	-57.895798815808305	-38.25595782727793
020390306	02	039	0306	5	General Alvarado	-57.91174200360938	-38.15818892172038
020390307	02	039	0307	5	General Alvarado	-58.1919273771548	-38.17850520205645
020390308	02	039	0308	5	General Alvarado	-58.13766599103419	-38.33392617966424
020390309	02	039	0309	5	General Alvarado	-58.008253529246055	-38.06792793569748
020400310	02	040	0310	7	General Alvear	-59.97962745196831	-36.07495896612063
020400311	02	040	0311	7	General Alvear	-60.452352739736185	-36.09156646200957
020400312	02	040	0312	7	General Alvear	-60.19675990552023	-35.91784994874951
020400313	02	040	0313	7	General Alvear	-59.99550593206072	-35.92415732043709
020410314	02	041	0314	4	General Arenales	-61.33814432101087	-34.3920413235624
020410314A	02	041	0314A	4	General Arenales	-61.48495925167408	-34.27995665518145
020410315	02	041	0315	4	General Arenales	-61.27711252573179	-34.30459541431377
020410316	02	041	0316	4	General Arenales	-61.11983206502238	-34.237401546471006
020410316A	02	041	0316A	4	General Arenales	-60.96589693254315	-34.23778639586563
020410317	02	041	0317	4	General Arenales	-61.17009973520903	-34.14403341697609
020410318	02	041	0318	4	General Arenales	-61.352039087178824	-34.14709077816338
020420320	02	042	0320	5	General Belgrano	-58.52625166909889	-35.777402342165765
020420321	02	042	0321	5	General Belgrano	-58.42611738789491	-35.87394493659295
020420322	02	042	0322	5	General Belgrano	-58.60282514308943	-35.9557771579764
020420323	02	042	0323	5	General Belgrano	-58.746925313877796	-35.8109725500158
020420324	02	042	0324	5	General Belgrano	-58.95406331415207	-35.70621957284606
020430326	02	043	0326	5	General Guido	-57.90963184042141	-36.703490430932675
020430327	02	043	0327	5	General Guido	-58.096097077907785	-36.899484031811475
020430328	02	043	0328	5	General Guido	-58.00539174467824	-36.485407709766676
020440330	02	044	0330	6	General Lamadrid	-61.3130807727879	-37.20692211405023
020440331	02	044	0331	6	General Lamadrid	-61.5452702863104	-37.06837020224912
020440332	02	044	0332	6	General Lamadrid	-61.118041186530526	-37.22788583693869
020440333	02	044	0333	6	General Lamadrid	-61.02197431372674	-37.3797274022465
020440334	02	044	0334	6	General Lamadrid	-61.51916568547278	-37.39672123116507
020440335	02	044	0335	6	General Lamadrid	-61.25387395924303	-37.57639272646628
020440336	02	044	0336	6	General Lamadrid	-61.41930587176169	-37.79521182509309
020450547	02	045	0547	1	Gral. Las Heras	-58.94143998232941	-34.96106617441817
020450548	02	045	0548	1	Gral. Las Heras	-58.98654172811955	-34.831243446570724
020450548A	02	045	0548A	1	Gral. Las Heras	-59.07170296133987	-34.77704939875464
020450548B	02	045	0548B	1	Gral. Las Heras	-59.094293939289344	-34.85572411759314
020460338	02	046	0338	5	General Lavalle	-57.14125347050634	-36.616777257156166
020460338A	02	046	0338A	5	General Lavalle	-56.888051847431576	-36.75814115915
020460338B	02	046	0338B	5	General Lavalle	-56.88121305260229	-36.43315515662921
020470340	02	047	0340	5	General Juan Madariaga	-57.1489096727772	-36.9187920095968
020470341	02	047	0341	5	General Juan Madariaga	-57.390555482136	-37.169276198310754
020470342	02	047	0342	5	General Juan Madariaga	-57.0211868363692	-37.096694418480226
020470343	02	047	0343	5	General Juan Madariaga	-57.21062725496854	-37.3429536623801
020480345	02	048	0345	5	General Paz	-58.30759913621561	-35.52770150403784
020480346	02	048	0346	5	General Paz	-58.34902910814535	-35.46501249073011
020480347	02	048	0347	5	General Paz	-58.224241243678904	-35.478669382952184
020480348	02	048	0348	5	General Paz	-58.377185882049574	-35.61620293430944
020480349	02	048	0349	5	General Paz	-58.47053204060007	-35.59533483720061
020480350	02	048	0350	5	General Paz	-58.48862994590246	-35.4114776046691
020480351	02	048	0351	5	General Paz	-58.41819534166368	-35.32189123227059
