circuito	FRENTE DE TODOS	JUNTOS POR EL CAMBIO	CONSENSO FEDERAL	FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	FRENTE NOS	MOVIMIENTO DE AVANZADA SOCIALISTA	FRENTE PATRIOTA	PARTIDO DIGNIDAD POPULAR	MOVIMIENTO ORGANIZACION DEMOCRATICA
02015000149	59	73	9	0	0	2	0	0	0
02015000150	720	573	58	39	8	6	1	2	0
02015000151	509	347	27	17	9	4	1	0	0
02015000152	108	82	8	8	2	0	1	0	0
02015000153	89	107	8	0	0	1	0	2	0
02016000155	5991	7037	1024	568	301	90	46	16	9
02016000156	6227	3071	468	316	367	46	24	29	16
02017000157	10377	8685	1201	745	192	100	35	44	31
02017000158	731	641	102	69	16	13	2	1	4
02017000159	442	350	51	32	5	5	2	0	3
02017000160	41	21	9	2	1	3	0	0	0
02017000162	55	56	14	1	0	0	1	0	0
02018000121	3211	3901	1240	103	171	24	10	9	5
02018000122	87	90	33	1	4	0	0	1	0
02019000164	5054	5898	440	243	67	49	23	9	9
02019000165	172	231	2	3	1	1	0	3	0
02019000166	54	71	3	0	1	0	1	0	0
02019000167	137	122	9	6	0	2	0	1	1
02020000169	1982	1617	110	130	23	6	9	5	2
02020000170	185	175	5	16	3	0	0	0	0
02020000171	163	139	9	9	1	2	1	1	0
02020000172	256	199	21	13	4	0	2	0	2
02020000173	1091	1050	64	36	17	8	9	2	1
02021000175	3587	3554	821	82	91	24	7	1	11
02021000176	196	174	53	3	3	1	0	0	1
02021000177	72	55	9	2	1	0	0	0	0
02022000729	7101	3974	466	211	727	49	23	36	17
02022000730	38	36	0	1	1	0	0	0	0
02022000731	623	701	38	22	10	5	1	1	4
02022000732	1097	1486	97	42	73	9	6	4	5
02022000733	275	428	32	8	14	4	1	2	1
02023000185	2847	2200	143	48	34	16	3	8	0
02023000186	10	21	0	2	0	0	0	0	0
02023000187	38	55	2	0	0	0	0	0	1
02024000230	8856	5077	469	305	223	56	31	11	9
02024000231	116	59	4	0	0	1	0	0	1
02025000232	2514	3448	442	122	77	33	7	3	11
02025000233	4	28	3	0	0	0	0	0	0
02025000234	28	85	4	0	0	1	1	1	0
02025000235	0	13	0	0	0	0	0	0	0
02025000236	16	53	6	1	0	1	0	0	0
02025000237	333	257	33	14	9	3	1	0	0
02025000238	454	599	96	19	3	4	1	4	1
02026000240	5066	6089	963	497	406	50	29	21	16
02026000243	158	265	28	8	13	5	0	2	2
02026000245	2	4	0	0	0	0	0	0	0
02026000246	7	34	0	1	1	1	1	0	0
02027000248	2856	7072	1042	333	347	64	24	23	10
02027000249	48	123	14	5	1	0	1	0	0
02028000252	7670	7432	788	515	193	60	40	19	22
02028000253	728	366	68	35	8	7	3	1	0
02028000254	1237	1609	160	72	34	24	12	2	8
02028000255	3	22	0	0	1	0	0	0	0
02028000256	10	9	3	0	0	0	1	0	0
02028000258	63	52	14	4	2	0	0	1	0
02029000189	13918	11369	1174	609	245	313	54	38	32
02029000190	257	591	43	17	2	11	3	1	0
02029000191	9	22	2	2	0	0	0	0	0
02029000192	6	14	3	0	0	0	0	0	0
02029000193	22	36	3	1	0	1	0	0	0
02029000194	22	29	1	0	1	0	0	0	0
02029000195	6	30	0	0	0	0	0	0	0
02029000196	19	21	8	2	1	1	0	0	0
02029000197	616	811	53	13	13	6	7	2	1
02029000198	179	225	27	0	2	1	1	0	0
02030000201	7835	9833	1207	473	163	90	27	21	10
02030000202	208	179	26	10	6	2	2	0	1
02030000203	903	903	122	42	30	8	0	2	1
02030000204	16	62	8	1	0	1	0	1	0
02030000205	8	26	3	2	0	0	0	0	0
02030000206	14	44	2	1	0	0	0	0	0
02030000208	10	13	3	0	0	1	0	0	0
02030000209	88	96	10	10	0	1	1	0	0
02031000211	18689	12259	7210	867	347	165	155	46	32
02031000212	26	35	18	5	1	0	1	0	3
02031000213	3	5	1	0	0	0	0	0	0
02031000214	5	8	0	0	0	0	0	0	0
02031000215	26	43	16	2	1	0	0	0	0
02031000216	37	32	26	1	1	0	0	0	0
02031000218	111	96	53	2	4	1	2	2	0
02031000219	18	30	10	0	2	0	0	0	0
02031000220	23	68	20	3	1	1	0	0	0
02031000221	22	60	34	1	0	0	1	0	0
02031000222	435	540	381	8	26	8	0	1	3
02031000223	1	4	0	0	0	0	0	0	0
02031000224	81	85	39	0	0	0	0	0	0
02031000225	0	8	1	0	0	0	0	0	0
02031000226	5	20	10	0	0	0	0	0	0
02032000179	4062	3577	278	74	40	19	8	2	6
02032000180	162	244	13	6	3	0	0	0	0
02032000181	75	59	4	0	0	1	2	0	0
02032000182	0	0	0	0	0	0	0	0	0
02032000183	669	756	23	16	7	7	2	1	3
02033000282	6432	8245	575	340	256	65	28	13	21
02033000283	11	16	0	0	0	0	0	1	0
02033000285	70	58	3	0	12	0	0	0	1
02034000490	4848	2433	500	307	135	78	14	16	11
02034000491	14604	5649	1213	987	303	210	40	45	19
02034000492	0	0	0	0	0	0	0	0	0
02035000773	8869	4825	784	528	724	103	32	44	20
02035000774	17257	14380	2032	1201	1602	247	110	104	42
02035000775	6601	4823	692	420	369	100	34	25	10
02036000286	1751	532	163	70	39	8	6	12	2
02036000287	11500	3470	957	650	368	101	47	44	36
02036000288	10121	9018	1964	886	295	192	61	32	22
02036000291	5269	4308	1091	497	185	113	55	20	16
02037000292	3700	2846	413	132	145	53	8	10	74
02037000293	3395	2493	326	157	194	44	11	9	9
02037000294	858	606	93	38	23	17	3	0	0
02037000295	1608	1486	192	61	51	19	9	3	6
02037000296	111	124	25	7	2	0	3	0	1
02037000297	202	151	10	3	8	2	1	1	1
02037000298	71	101	9	1	10	1	0	0	0
02038000302	47116	19451	4488	2741	1107	634	222	287	147
02038000303	1821	621	190	40	28	8	16	19	3
02039000305	8818	7590	1684	418	445	145	38	95	18
02039000306	2146	1610	356	85	85	18	6	13	8
02039000307	286	656	109	18	12	7	1	0	0
02039000308	190	176	27	17	4	4	2	3	0
02039000309	23	20	3	1	0	0	0	0	0
02040000310	2709	3063	172	68	19	24	10	4	4
02040000311	20	11	2	0	0	0	1	0	0
